chunk_id,batch_number,character_count,feature_count,dimension,vector_norm,text_sha256,status
database-hospital-helpdesk-db-0001-chunk-001,1,149,37,384,0.99999998,1358cc82153d1e4b8600831bcad06883375e13165ff7f34122d6f9adbe2daaef,created
database-hospital-helpdesk-db-0002-chunk-001,1,146,41,384,0.99999999,8520fc724d1078a248421037786f099c3330245bf213ec0846a094bebb7cc29f,created
database-hospital-helpdesk-db-0003-chunk-001,1,142,43,384,0.99999999,f3e4222b92796b3f09bbc97fd3e60f1ef87dc6be5fb832b8b66b28934fbff9f6,created
database-hospital-helpdesk-db-0004-chunk-001,1,143,43,384,0.99999999,ad425e028acbbf4bc713b5401c84e8be6fa300bbe9addb68b7fda3e9b836fee2,created
database-hospital-helpdesk-db-0005-chunk-001,1,145,49,384,0.99999998,88b393d931e7d078931753d47edc304d68e9998d5e3dda2764a1acd64e84cfb0,created
database-hospital-helpdesk-db-0006-chunk-001,1,143,45,384,1.0,138d1cb1d78fb21a14f24b1869411b4eaf0bb823dee75ee17d0b057e4159eaa2,created
database-hospital-helpdesk-db-0007-chunk-001,1,148,43,384,0.99999999,5e8961415237ac0473b36b1eff2bad668a7a72eef3a24ad56b99cc7e9fec30fa,created
database-hospital-helpdesk-db-0008-chunk-001,1,149,43,384,1.0,3eb4b6f54e5d013ddffce0ff7632147f0a2c2e2b3fecbf669113a50cb5f0d215,created
database-hospital-helpdesk-db-0009-chunk-001,1,144,41,384,0.99999999,42a25083511d117949ff505113d6c6785b81d515c056096badf9d6cccadf4fff,created
database-hospital-helpdesk-db-0010-chunk-001,1,155,49,384,1.0,0935971c4aa212aa9579b048a7759e20b26602f5e344ae0609722cfba437e9b7,created
database-hospital-helpdesk-db-0011-chunk-001,1,149,47,384,1.00000002,c2a20a84c776e5865b62bd807293c53e1f3739ad1c701f8bc2fe9df9c8e51dc0,created
database-hospital-helpdesk-db-0012-chunk-001,1,154,43,384,0.99999999,aa53f29ddefcb87bd80d44bbb4f8664fcf95cf34fe8f1ee7a5720ce61d5178fb,created
database-hospital-helpdesk-db-0013-chunk-001,1,137,41,384,0.99999999,2baac48219f93bac812b60d65838ca715dddcbb0038f194093ad57475cdffa45,created
database-hospital-helpdesk-db-0014-chunk-001,1,140,41,384,0.99999999,bf3e019d1c2ac9ab4acfd0113677a6e8f856bf4ba4b2f4709a01cd2f72033a3a,created
database-hospital-helpdesk-db-0015-chunk-001,1,141,41,384,0.99999999,c320166afd7fc4b5b07d49114eb64e821ff82c12463ed3b68b140c86008b119b,created
database-hospital-helpdesk-db-0016-chunk-001,1,142,41,384,1.00000001,b272d8f5b2cf347777b707fe51f04306c429fbda0472dd06c8a77a01bc90b04d,created
database-hospital-helpdesk-db-0017-chunk-001,1,143,43,384,1.00000001,fa9eeebbbc62b21abc89291c0e9d04085e3a16001776467881942cbaae14d40f,created
database-hospital-helpdesk-db-0018-chunk-001,1,148,43,384,0.99999999,40119289dff3dc10effebb88f0cd0c193338a4a14069cf5881831de38fd68a87,created
database-hospital-helpdesk-db-0019-chunk-001,1,144,43,384,1.00000002,eab08cd53cfac2b02209a8c140db07f0f00205f63ceccd5a935fb4c9ebebba84,created
database-hospital-helpdesk-db-0020-chunk-001,1,138,41,384,1.00000001,68365de19a2b0e7106ce907131c1256e8cfb82f73315e234a99ab65d54d50644,created
database-hospital-helpdesk-db-0021-chunk-001,1,140,41,384,0.99999998,5508d98c4f3820030e823ed4bf74541a0b3b2a1a0a026e924b57163602fcc34a,created
database-hospital-helpdesk-db-0022-chunk-001,1,141,41,384,1.00000001,ad3299f6adaa1d10892dd9f02b8192adf62c846bca4d2effb2c87e20126956f2,created
database-hospital-helpdesk-db-0023-chunk-001,1,120,33,384,1.0,a28ab23dd267cf84f51371b7bf99b22cf12efdba5f775c0375dd3208b8cfeb95,created
database-hospital-helpdesk-db-0024-chunk-001,1,133,37,384,0.99999998,ada3cf8c047a1884c4d3247ca057c78ff8f563dd34767036983e39201b7e0c62,created
database-hospital-helpdesk-db-0025-chunk-001,1,146,35,384,1.00000002,4c4961fee330a4fc28f66c712c293f73728567b8d290b585d61a40a17da73bc4,created
database-schema-sql-0001-chunk-001,1,365,103,384,1.00000002,65943e4d852f9a58e414ce1e47fc808a10d4bb6ae9430f2b9cea0964e3d2ee0b,created
faqs-hospital-faqs-json-0001-chunk-001,1,267,81,384,0.99999998,d8c62b2115ff8dd893a51c11984e3f47c2069a7015fb142f1dd6f258ec37be1d,created
faqs-hospital-faqs-json-0002-chunk-001,1,281,83,384,1.00000003,733a5d151db0e003e3bb174986f94a7b8fae7d72927756289b85d4454852674b,created
faqs-hospital-faqs-json-0003-chunk-001,1,294,81,384,1.00000002,6cd6f066d440f952e9df2db70fe157819175e276a9532f3d7b0ce4be517e2b53,created
faqs-hospital-faqs-json-0004-chunk-001,1,244,79,384,1.00000002,f7834d5ad9bae297aad59fbde930b66c4dbe8f7ae6c8433e0ad7b9e5c8a5fada,created
faqs-hospital-faqs-json-0005-chunk-001,1,259,79,384,0.99999996,4e971786f274301d5694d1d94d90e64ab0c0a42115783a91c4af359c3d13549f,created
faqs-hospital-faqs-json-0006-chunk-001,1,247,75,384,1.00000002,080fd532052520a01fc5ae1c083bae9779614899d7b85d7e20dc7cee6c4984df,created
faqs-hospital-faqs-json-0007-chunk-001,2,282,89,384,1.0,f4ae2b8880db02acc336c5f640630a63e05a5c05f30c4d6bc8f38ad93b443aa3,created
faqs-hospital-faqs-json-0008-chunk-001,2,262,73,384,0.99999997,88c49225d5b1eede6afe383ffc166364982d035433044ba84e75d839814ed189,created
faqs-hospital-faqs-json-0009-chunk-001,2,261,77,384,1.00000003,0e6ce9f135602fbe274d5b86b3038191f09ddff3071d5b4b923a18190ca42684,created
faqs-hospital-faqs-json-0010-chunk-001,2,257,71,384,1.00000001,be1900e81cf301a57bf174731a4f9993c237195cdfe66b5ae1be9a20e33ae95a,created
faqs-hospital-faqs-json-0011-chunk-001,2,264,87,384,1.00000004,11103f4faf5ce2593958b0081476824fcf832d299c1e1441adfe1e446b68c98d,created
faqs-hospital-faqs-json-0012-chunk-001,2,270,83,384,0.99999999,9659a7bba8750b35c14860aa4b647be1ce44f8fcf8f37bfb9700bf43146c7d92,created
faqs-hospital-faqs-json-0013-chunk-001,2,231,69,384,1.00000001,568550c8a84691f9b8c1645a8fdddcef8bd733491fd0f49dc293ed0877750407,created
faqs-hospital-faqs-json-0014-chunk-001,2,257,75,384,1.00000001,5146aea9306bc0ca2b1ce0cadd2c72bbefcc48adabc8c2ea2c61476e7c75d1f7,created
faqs-hospital-faqs-json-0015-chunk-001,2,257,75,384,1.0,249b5ad0ec7668b8c66ec29d9bb45e200a6ffa6020a830a94f59e4ce0d828c76,created
faqs-hospital-faqs-json-0016-chunk-001,2,227,63,384,1.0,47ba429fddcc8801a0c11de34c49aee90eeadb0c04f3eb0ff4f6d2c68e889e6c,created
faqs-hospital-faqs-json-0017-chunk-001,2,245,77,384,1.00000001,921fa25e4b36ecbaccb4e801d070fee3a893582ab315574379f72460da4cb056,created
faqs-hospital-faqs-json-0018-chunk-001,2,252,75,384,1.00000004,75b6cbefaabb12a8d07164f8f55203bc91549cc2b1bd61f97fd7eebc0050c762,created
faqs-hospital-faqs-json-0019-chunk-001,2,283,87,384,1.00000001,abee63d510bbb4ee4472f2f5e8878fd0b252da719ca9c2e1488de5de7ecc4e63,created
faqs-hospital-faqs-json-0020-chunk-001,2,283,77,384,1.00000001,c38d4348aa9eb438fe11fdb9e06ef13ddf2c8a535710b5723b2b5e0fd5c96c4b,created
manuals-patient-portal-manual-pdf-0001-chunk-001,2,765,215,384,1.0,757d44de93a67240afd0b039d4f03892dfb24a1f788107f68accbbc5f321cf70,created
manuals-patient-portal-manual-pdf-0001-chunk-002,2,400,109,384,1.00000002,9dc8cea57b7f79ea8899b30dce49e65f5e333aed0f6c18ba4683405c253afba7,created
pdfs-appointment-policy-pdf-0001-chunk-001,2,721,203,384,0.99999999,f8b09b9743ad557020060da65d4212ebe5851131c96a74dac3ea5327018264f6,created
pdfs-appointment-policy-pdf-0001-chunk-002,2,402,115,384,0.99999999,008a6520b80ff90c53af0b0972e05853f97a202b1bd7226928bedb1f4b31a620,created
pdfs-hospital-faqs-pdf-0001-chunk-001,2,787,203,384,0.99999999,4a53f6ebb01eb65ba34a3d346d8a759968512e0842044dfb471865bfd026e471,created
pdfs-hospital-faqs-pdf-0001-chunk-002,2,244,63,384,1.0,554065bd0847e0f82db7a45baf1dbdda6eb9825ea6044b056500b75f7797d594,created
pdfs-insurance-guidelines-pdf-0001-chunk-001,2,657,175,384,1.0,10be5eb72750dd6f81ab0eee1ab220dcf2b1e04f92150339a8f408ee08c70297,created
pdfs-insurance-guidelines-pdf-0001-chunk-002,2,479,135,384,1.00000003,29314481d3dd0cad86f11c746f437946dc997923411c47e6d00085b95e98f9cc,created
provenance-source-manifest-csv-0001-chunk-001,2,241,71,384,1.0,283d076480b445ee4be8bbec1f86b58ce461014f6428a2f1f0d3704b1e1fd52e,created
provenance-source-manifest-csv-0002-chunk-001,2,256,69,384,0.99999999,c29f3938c6f4fc0a1ee9e7e47c3c8a392e1bfe0dbd00013c4afa9e70163fea05,created
provenance-source-manifest-csv-0003-chunk-001,2,246,63,384,0.99999999,f87309c166bca8985db661609a0208da3793889d0ec2f3f0314f20747991ed98,created
provenance-source-manifest-csv-0004-chunk-001,2,217,63,384,0.99999998,0f5838b2a56360dc24204888b39ff3784c65d5a3a982afdfd6e93d0ffe57ad55,created
provenance-source-manifest-csv-0005-chunk-001,2,231,61,384,0.99999999,d3261a9d096c75afd8318fe64fc14c36c697155ace343c936d82d59d3427b0b2,created
support-logs-deidentified-support-logs-jsonl-0001-chunk-001,2,231,57,384,0.99999999,fd8699a653e610925bb53c82eab5fb02c699c35aa61b53a33b9e559663d8889e,created
support-logs-deidentified-support-logs-jsonl-0002-chunk-001,2,211,55,384,1.00000002,3989abd384f7d09f9560e8429ee26710ea3e49e33f88baaa51eff6ee391af051,created
support-logs-deidentified-support-logs-jsonl-0003-chunk-001,2,226,57,384,1.00000001,ce3c74b15a6e3d8937e215b031d4f6d88c87e4f3090582a817667a231f32eb74,created
support-logs-deidentified-support-logs-jsonl-0004-chunk-001,2,237,65,384,0.99999997,e4b7efd93b21921ae9abf014c8e28443ffb01ea974b6365f4f30c2afe54f8548,created
support-logs-deidentified-support-logs-jsonl-0005-chunk-001,2,261,69,384,1.00000002,f7f3ca9d85857c8baf5b0c1cd3078f77b01eef7fb586bc5f85fb62a605fb37a5,created
support-logs-deidentified-support-logs-jsonl-0006-chunk-001,3,232,55,384,1.00000002,621e411aed6724ed4232e37f486da3cab09bc1b1e2d039cde978a720f24abf91,created
support-logs-deidentified-support-logs-jsonl-0007-chunk-001,3,264,75,384,1.00000002,601806ab7e3ceaa079af2d2383a91c6f8c6257fc345dd985b37c9b4336857037,created
support-logs-deidentified-support-logs-jsonl-0008-chunk-001,3,224,57,384,0.99999998,8dbbf631679caeccfebdb2b9f1ffac56530ac0668efb14335274fdb569d2367d,created
tabular-department-info-csv-0001-chunk-001,3,160,39,384,0.99999999,becbb441d85ccc59d63cba3e4c8191b56fb01a7e33daab3106a5782ffcc7f066,created
tabular-department-info-csv-0002-chunk-001,3,157,43,384,0.99999999,ff65866f4cc4cab3b2dd8b45df1b58ca7cd0f8171bc098bbf3b4b621de8332d9,created
tabular-department-info-csv-0003-chunk-001,3,153,45,384,0.99999999,cf2150dee37cc05e379d9fd2a68d3c47068658df9b23bf9a13c152d83a1693a3,created
tabular-department-info-csv-0004-chunk-001,3,154,45,384,0.99999999,17a26b61f1dae88493e984b3140e1c3e94e1c91218b8384c56cd01af5c29ed67,created
tabular-department-info-csv-0005-chunk-001,3,156,51,384,0.99999998,d791c8bdc758f40fbbb4d66fcf160c29bf983c5d350afc4566e169d096fcc197,created
tabular-department-info-csv-0006-chunk-001,3,154,47,384,1.0,b3ee6f438989e8214cdda3024979fa4a84b6d35ba3093b51103533fca3c73443,created
tabular-department-info-csv-0007-chunk-001,3,159,45,384,0.99999999,6cfcd391b875bec8029ba0a47fb9b20ca57cf40dc284cef8655c73d59351686c,created
tabular-department-info-csv-0008-chunk-001,3,160,45,384,1.00000001,305b1eeaaeee81b9dbe0df7b43d53d28cf9dd7d11657f5e1764dc2eb06ec0b83,created
tabular-department-info-csv-0009-chunk-001,3,155,43,384,0.99999999,021a6d1eae9f187ff8bf4bbe3ce7c73d38294d38fd2fbaa4dcde781022eb09f9,created
tabular-department-info-csv-0010-chunk-001,3,166,51,384,1.00000001,e869ff31619d92e71b225bef7985a2d69ab8440a3682df4302e23a59e808bbbd,created
tabular-department-info-csv-0011-chunk-001,3,160,49,384,0.99999998,5534810b5f8e035c956af3f01d34da2b6f439f43df9d6813a0f7a3a538d67545,created
tabular-department-info-csv-0012-chunk-001,3,165,45,384,0.99999999,d9871dd0e54bac3bb54ce24f35fec4e15db989c5bbecda40d47c7860cc63a1b8,created
tabular-doctor-schedule-csv-0001-chunk-001,3,137,41,384,0.99999999,2baac48219f93bac812b60d65838ca715dddcbb0038f194093ad57475cdffa45,created
tabular-doctor-schedule-csv-0002-chunk-001,3,140,41,384,0.99999999,bf3e019d1c2ac9ab4acfd0113677a6e8f856bf4ba4b2f4709a01cd2f72033a3a,created
tabular-doctor-schedule-csv-0003-chunk-001,3,141,41,384,0.99999999,c320166afd7fc4b5b07d49114eb64e821ff82c12463ed3b68b140c86008b119b,created
tabular-doctor-schedule-csv-0004-chunk-001,3,142,41,384,1.00000001,b272d8f5b2cf347777b707fe51f04306c429fbda0472dd06c8a77a01bc90b04d,created
tabular-doctor-schedule-csv-0005-chunk-001,3,143,43,384,1.00000001,fa9eeebbbc62b21abc89291c0e9d04085e3a16001776467881942cbaae14d40f,created
tabular-doctor-schedule-csv-0006-chunk-001,3,148,43,384,0.99999999,40119289dff3dc10effebb88f0cd0c193338a4a14069cf5881831de38fd68a87,created
tabular-doctor-schedule-csv-0007-chunk-001,3,144,43,384,1.00000002,eab08cd53cfac2b02209a8c140db07f0f00205f63ceccd5a935fb4c9ebebba84,created
tabular-doctor-schedule-csv-0008-chunk-001,3,138,41,384,1.00000001,68365de19a2b0e7106ce907131c1256e8cfb82f73315e234a99ab65d54d50644,created
tabular-doctor-schedule-csv-0009-chunk-001,3,140,41,384,0.99999998,5508d98c4f3820030e823ed4bf74541a0b3b2a1a0a026e924b57163602fcc34a,created
tabular-doctor-schedule-csv-0010-chunk-001,3,141,41,384,1.00000001,ad3299f6adaa1d10892dd9f02b8192adf62c846bca4d2effb2c87e20126956f2,created
tabular-insurance-plans-csv-0001-chunk-001,3,190,51,384,1.00000002,d135a843d003fc53e8e4b280371acc46b385ca659d7aa5bf868d2906481bde68,created
tabular-insurance-plans-csv-0002-chunk-001,3,195,49,384,1.00000002,4ca3669a89d88d5024da8175f26bcf7fb5638f79925c3a40766e9fd4d78d3916,created
tabular-insurance-plans-csv-0003-chunk-001,3,182,47,384,0.99999998,419e3d4f809ce835b22c145fa173d542f8d773fcd2405a4be3b850f20e37d8d7,created
tabular-insurance-plans-csv-0004-chunk-001,3,208,49,384,1.00000002,6342a13e1e0a12218553f9c7332dc5c79803a2da129678934292f8081756b1d2,created
tabular-service-directory-csv-0001-chunk-001,3,187,41,384,1.00000002,a92df5856bdf037c7cbb752afb5493f04fe8da7127ae3456af8eeb4b732dd4fb,created
tabular-service-directory-csv-0002-chunk-001,3,138,31,384,1.0,21f40f4c39a4dcc3c79058885845d926e6ea6ef17242b2822864bb5fb21f238e,created
tabular-service-directory-csv-0003-chunk-001,3,165,39,384,0.99999998,ebdef67b7e300376c9aeb6b33b960370d58e220b36a7a080571b53f0d575448a,created
tabular-service-directory-csv-0004-chunk-001,4,154,35,384,0.99999998,ce8ac67f1a5c3c42ec2c34db2892b5d62411ffa681150594787a7286e62c7876,created
tabular-service-directory-csv-0005-chunk-001,4,143,37,384,1.00000001,bfdede8349c1c35d144a7fd256029d82aaef70ccd086601001933feeb8bbb284,created
web-pages-contact-and-hours-html-0001-chunk-001,4,257,79,384,1.00000002,7421adcc4265b34d9c97abdbc45e217f3ea968fea18686219e94f2ef9a026d0f,created
web-pages-patient-rights-html-0001-chunk-001,4,298,71,384,1.00000001,5dba0fec1b03df7acf3671ba70e4c773ff2d94d1d25da8edad8672d57ca34786,created
web-pages-portal-help-html-0001-chunk-001,4,292,83,384,1.0,90b11f5289190920f976b237edcdfec90cd17e0903bc299dd8d10cd1f7cc3378,created
web-pages-visitor-information-html-0001-chunk-001,4,247,69,384,1.00000002,75216f19d02b9338535e8b84731a927f4a478443c219bc188e067fe52d7adf67,created
